product_id,default_code,product_name,category_name,active
8561,FG-PSS-TH-04005,ยาดมโป๊ยเซียนเหลือง,All / FG / ยาดมตราโป๊ยเซียน,True
8562,FG-PSS-TH-04006,ยาดมโป๊ยเซียนเขียว,All / FG / ยาดมตราโป๊ยเซียน,True
8204,FG-PSS-XX-01001,"Poy-Sian Brand Mark II Inhaler  (Thai Label) (Laos) 10*6 (5dz)
( Each carton contains 20 units ) ",All / FG / ยาดมตราโป๊ยเซียน,True
8241,FG-XXX-XX-0,ยาหม่อง PS พญายอ 22g (1x1),All / RM / สารเคมี,True
8381,RM-BOT-AC-01001,โฟมใส่ฝาขวดแก้วแบน 3cc,All / RM / บรรจุภัณฑ์,True
8339,RM-COT-PN-01001,สำลี,All / RM / บรรจุภัณฑ์,True
8084,RM-FIL-PS-01001,ก้นกรองมัดสำเร็จ,All / RM / บรรจุภัณฑ์,True
8083,RM-FIL-PS-01002,ก้นกรอง,All / RM / บรรจุภัณฑ์,True
8572,RM-FIL-PS-01003,ก้นกรองกระปุก,All / RM / บรรจุภัณฑ์,True
8573,RM-FIL-PS-01004,ก้นกรองชุบน้ำยา PS,All / RM / บรรจุภัณฑ์,True
8574,RM-FIL-PS-01005,ก้นกรองชุบน้ำยา Pepex,All / RM / บรรจุภัณฑ์,True
8575,RM-FIL-PS-01006,ก้นกรองชุบน้ำยา MarkII,All / RM / บรรจุภัณฑ์,True
8747,RM-FIL-PS-01007,ก้นกรองชุบน้ำยา PAX,All / SFG / น้ำยา,True
8146,RM-HTF-CN-00001,ฉลาก HTF PS ตัวบน จีน,All / RM / บรรจุภัณฑ์,True
8152,RM-HTF-CN-00002,ฉลาก HTF PS ตัวล่าง จีน,All / RM / บรรจุภัณฑ์,True
8147,RM-HTF-DE-00001,ฉลาก HTF PS ตัวบน เยอรมัน,All / RM / บรรจุภัณฑ์,True
8148,RM-HTF-DE-00002,ฉลาก HTF PS ตัวล่าง เยอรมัน,All / RM / บรรจุภัณฑ์,True
8136,RM-HTF-IL-00001,ฉลาก HTF MarkII อิสราเอล ตัวบน,All / RM / บรรจุภัณฑ์,True
8131,RM-HTF-IL-00002,ฉลาก HTF MarkII อิสราเอล ตัวล่าง,All / RM / บรรจุภัณฑ์,True
8135,RM-HTF-JP-00001,ฉลาก HTF MarkII NOSE MINT ตัวบน,All / RM / บรรจุภัณฑ์,True
8134,RM-HTF-JP-00002,ฉลาก HTF MarkII NOSE MINT ตัวล่าง,All / RM / บรรจุภัณฑ์,True
8137,RM-HTF-KR-00001,ฉลาก HTF MarkII เกาหลี ตัวบน ,All / RM / บรรจุภัณฑ์,True
8132,RM-HTF-KR-00002,ฉลาก HTF MarkII เกาหลี ตัวล่าง ,All / RM / บรรจุภัณฑ์,True
8145,RM-HTF-MY-00001,ฉลาก HTF PS ตัวบน มาเลเซีย,All / RM / บรรจุภัณฑ์,True
8144,RM-HTF-MY-00002,ฉลาก HTF PS ตัวล่าง มาเลเซีย,All / RM / บรรจุภัณฑ์,True
8150,RM-HTF-TH-00001,ฉลาก HTF PS ตัวบน,All / RM / บรรจุภัณฑ์,True
8149,RM-HTF-TH-00002,ฉลาก HTF PS ตัวล่าง,All / RM / บรรจุภัณฑ์,True
