PO Number,Vendor Ref,Vendor Name,Vendor ID (DB),Product Code,Product Name,Product Template ID (DB),Open Qty,Unit Price,Source Currency,Odoo Currency,Delivery Date
PO2600033,940,บริษัท สไวป์ไวบส์ จำกัด,270764.0,900023,ค่าจัดทำคอนเทนต์ เพื่อโปรโมทผลิตภัณฑ์ Poysian ในปี 2026 (เดือนมกราคม - ธันวาคม 2026)ประกอบไปด้วย :- คอนเทนต์เดือนละ 13 คลิป ลงช่องทาง Instagram และ Tiktok ทั้งหมด 12 เดือน- ค่ายิง ads เพื่อเพิ่มการเข้าถง- ค่าจ้าง KOLs จำนวน 3 คน- ค่าจัดทำ Oline Creative Campaign 1 ครั้ง,8114.0,11.0,187500.0,THB,THB,
PO2600025,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900023,ค่าบริการรายเดือน เจ้าหน้าที่ ดูแลด้าน IT จำนวน 1 คน ประจำปี 2569วันทำงาน : วันจันทร์ - วันศุกร์ 09.00-16.00 น. และ ON CALL ตลอดเวลาทำงาน,8114.0,11.0,23400.0,THB,THB,
PO2600025,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900023,ค่าบริการรายเดือน งานดูแลและบริหารจัดการ แม่ข่ายและอุปกรณ์เครือข่าย ประจำปี 2569,8114.0,11.0,8900.0,THB,THB,
PO2600012,375,บริษัท เอส.เอ.เอ็นจิเนียร์ริ่ง 2018 จำกัด,70932.0,900023,ค่าบริการบำรุงรักษาเครื่องปรับอากาศระบบ Chiller York Model : YEWS100HA50Eวันที่เริ่ม สัณญา 1 มกราคม 2569 วันสิ้นสุดสัณญา 31 ธันวาคม 2569,8114.0,1.0,35000.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,"เคสกันกระแทกสำหรับ Tablet (Rugged boot for 8""ET401 Tablet)",8117.0,2.0,3750.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,D-clips หูเกี่ยวสายคล้อง (คู่),8117.0,2.0,1100.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900016,Universal shoulder strap สายคล้องไหล่,8117.0,2.0,600.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900023,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ET40",8114.0,2.0,7500.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900023,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ZQ521",8114.0,1.0,7500.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,Tablet ขนาด 8 นิ้ว แบบใส่ซิมมือถือได้ ยี่ห้อ Zebra รุ่น ET401,8359.0,5.0,30000.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,สายชาร์จ USB C to USB A ขนาดความยาว 1 เมตร,8359.0,5.0,500.0,THB,THB,
PO2600008,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,70660.0,900073,อะแดปเตอร์ชาร์จ Tablet ยี่ห้อ Zebra,8359.0,5.0,1000.0,THB,THB,
